Edad,Sexo,Talla,Latitud,Notas,Horas_Estudio,Fecha_Matricula,Acceso_Internet,Trabaja,Comentarios_Tutor,Horas_Sueno
22,M,1.59,-5.99305,0.9,2,2023-11-24,1,1,Dificultad con matematicas,5
19,F,1.85,-2.57898,8.5,6,2023-03-24,1,0,Problemas familiares,4
28,F,1.79,-16.46632,3.2,38,2023-04-16,1,1,Alta motivacion,7
26,F,1.8,-11.21172,13.8,33,2023-04-11,1,1,Problemas familiares,9
23,F,1.9,-17.76434,19.2,7,2023-12-05,1,1,Problemas familiares,7
28,M,1.82,-14.8055,1.5,31,2023-06-30,0,1,Alta motivacion,7
20,M,1.83,-6.65113,17.9,39,2023-11-05,1,0,Falta de tiempo,5
22,M,1.88,-2.05989,13.2,13,2023-12-26,1,1,Alta motivacion,7
25,F,1.56,-6.60995,17.2,4,2023-05-31,1,0,Ausencias frecuentes,4
18,M,1.7,-6.04551,3.1,6,2023-02-04,1,1,Alta motivacion,6
22,M,1.73,-16.13121,18.1,9,2023-05-31,1,1,Ausencias frecuentes,6
26,M,1.63,-6.03251,19.2,19,2023-10-29,1,1,Excelente participacion,6
26,F,1.84,-9.82176,18.1,20,2023-03-12,1,1,Falta de tiempo,7
23,F,1.8,-6.27408,15.7,27,2023-01-02,0,1,Alta motivacion,4
20,F,1.79,-12.12888,1.8,28,2023-07-30,1,1,Problemas familiares,4
19,M,1.9,-7.53325,4.4,5,2023-04-02,0,0,Excelente participacion,7
23,M,1.6,-10.36675,18.3,37,2023-02-07,1,1,Excelente participacion,8
23,M,1.79,-7.94453,4.6,2,2023-02-05,1,0,Falta de tiempo,6
18,F,1.72,-15.35239,7.0,36,2023-07-03,0,0,Excelente participacion,5
21,M,1.63,-10.87515,1.0,16,2023-01-18,1,1,Alta motivacion,6
20,F,1.56,-11.26298,12.6,32,2023-05-18,1,1,Excelente participacion,7
17,F,1.86,-4.7449,11.3,9,2023-10-09,1,1,Ausencias frecuentes,4
23,F,1.74,-5.28463,19.2,36,2023-05-08,0,1,Excelente participacion,5
27,F,1.83,-1.64054,17.8,32,2023-07-26,0,1,Excelente participacion,5
29,M,1.72,-6.623,10.1,27,2023-11-11,1,1,Problemas familiares,9
21,M,1.59,-12.33815,12.2,22,2023-12-18,1,0,Ausencias frecuentes,4
17,F,1.64,-3.90196,8.3,9,2023-09-14,0,1,Ausencias frecuentes,6
27,M,1.65,-9.05404,2.6,7,2023-03-31,1,0,Falta de tiempo,7
20,F,1.89,-14.51712,17.4,15,2023-04-28,1,1,Alta motivacion,9
16,M,1.5,-4.54659,11.0,31,2023-11-20,1,1,Ausencias frecuentes,4
27,M,1.89,-15.61443,8.5,24,2023-08-07,1,1,Excelente participacion,7
25,F,1.89,-14.79324,1.4,36,2023-09-20,1,1,Dificultad con matematicas,5
21,F,1.9,-4.34239,13.3,14,2023-06-13,1,1,Alta motivacion,6
28,F,1.69,-4.1374,8.0,15,2023-08-25,0,0,Ausencias frecuentes,7
27,F,1.89,-3.76594,5.1,16,2023-04-26,0,1,Problemas familiares,5
24,M,1.66,-12.72015,17.5,26,2023-08-09,1,0,Ausencias frecuentes,9
16,F,1.51,-2.40143,3.7,25,2023-10-31,1,1,Ausencias frecuentes,7
26,M,1.59,-4.99197,10.3,7,2023-11-12,0,1,Falta de tiempo,4
26,F,1.88,-2.98859,15.9,10,2023-05-23,1,1,Problemas familiares,7
25,M,1.51,-5.2451,17.0,26,2023-01-07,1,1,Problemas familiares,8
27,F,1.72,-7.56726,16.4,8,2023-08-27,1,1,Ausencias frecuentes,4
27,M,1.53,-16.03089,17.9,10,2023-12-28,1,1,Falta de tiempo,5
29,M,1.61,-5.20315,2.8,6,2023-07-08,1,0,Alta motivacion,9
29,M,1.54,-5.57171,18.8,27,2023-01-09,1,1,Problemas familiares,9
29,F,1.84,-12.37516,0.2,29,2023-06-30,1,1,Excelente participacion,9
18,F,1.74,-4.75524,5.1,35,2023-12-16,1,1,Problemas familiares,5
27,F,1.86,-8.09182,1.7,8,2023-08-31,1,1,Alta motivacion,7
22,F,1.78,-7.93069,18.9,34,2023-09-06,1,1,Dificultad con matematicas,7
19,M,1.89,-11.38312,8.5,12,2023-08-12,1,1,Dificultad con matematicas,5
24,M,1.7,-15.89787,6.3,3,2023-04-18,1,1,Falta de tiempo,5
18,M,1.76,-14.09529,3.3,9,2023-07-24,1,1,Falta de tiempo,6
20,F,1.73,-4.16103,3.1,25,2023-06-23,1,1,Ausencias frecuentes,5
18,M,1.69,-13.11405,12.3,2,2023-08-13,0,1,Problemas familiares,7
22,M,1.84,-17.95945,0.9,16,2023-03-25,1,0,Dificultad con matematicas,7
20,F,1.76,-0.05369,11.9,26,2023-04-19,1,0,Falta de tiempo,5
24,F,1.82,-14.20772,15.5,21,2023-10-18,0,1,Dificultad con matematicas,9
22,M,1.81,-6.2031,12.0,35,2023-03-31,1,1,Alta motivacion,5
17,F,1.58,-1.3154,16.5,7,2023-05-11,0,1,Ausencias frecuentes,9
19,F,1.76,-7.20517,5.3,32,2023-11-03,1,0,Excelente participacion,8
24,F,1.58,-3.61745,1.5,25,2023-01-21,1,1,Dificultad con matematicas,9
27,F,1.73,-0.42531,14.4,30,2023-01-29,1,0,Falta de tiempo,6
29,M,1.77,-2.51346,16.6,10,2023-08-31,1,1,Dificultad con matematicas,6
17,M,1.9,-7.95773,10.0,28,2023-09-14,1,0,Falta de tiempo,6
25,M,1.51,-11.45335,16.4,28,2023-05-29,1,0,Ausencias frecuentes,9
24,M,1.54,-9.31564,9.2,37,2023-04-21,0,0,Falta de tiempo,4
25,M,1.53,-2.84713,4.0,36,2023-11-21,1,1,Alta motivacion,4
20,F,1.66,-2.63962,9.5,14,2023-08-23,1,0,Ausencias frecuentes,9
17,M,1.83,-2.77461,4.3,14,2023-03-08,0,0,Falta de tiempo,9
19,M,1.84,-7.24996,9.4,6,2023-11-09,1,0,Falta de tiempo,9
27,F,1.79,-9.41479,3.0,28,2023-03-31,1,1,Alta motivacion,4
27,F,1.86,-12.39591,3.7,32,2023-06-21,1,0,Excelente participacion,9
22,F,1.63,-17.9395,17.7,15,2023-06-05,1,1,Ausencias frecuentes,5
